452  [main] DEBUG o.s.core.env.StandardEnvironment - Adding [systemEnvironment] PropertySource with lowest search precedence
453  [main] DEBUG o.s.core.env.StandardEnvironment - Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
459  [main] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Looking for matching resources in directory tree [C:\Users\kirk\eclipse-workspace\LotterRealPerson\target\classes\javautils]
460  [main] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [C:\Users\kirk\eclipse-workspace\LotterRealPerson\target\classes\javautils] for files matching pattern [C:/Users/kirk/eclipse-workspace/LotterRealPerson/target/classes/javautils/*/**/*.class]
461  [main] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [C:\Users\kirk\eclipse-workspace\LotterRealPerson\target\classes\javautils\array] for files matching pattern [C:/Users/kirk/eclipse-workspace/LotterRealPerson/target/classes/javautils/*/**/*.class]
462  [main] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [C:\Users\kirk\eclipse-workspace\LotterRealPerson\target\classes\javautils\datasource] for files matching pattern [C:/Users/kirk/eclipse-workspace/LotterRealPerson/target/classes/javautils/*/**/*.class]
463  [main] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [C:\Users\kirk\eclipse-workspace\LotterRealPerson\target\classes\javautils\date] for files matching pattern [C:/Users/kirk/eclipse-workspace/LotterRealPerson/target/classes/javautils/*/**/*.class]
463  [main] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [C:\Users\kirk\eclipse-workspace\LotterRealPerson\target\classes\javautils\encrypt] for files matching pattern [C:/Users/kirk/eclipse-workspace/LotterRealPerson/target/classes/javautils/*/**/*.class]
464  [main] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [C:\Users\kirk\eclipse-workspace\LotterRealPerson\target\classes\javautils\html] for files matching pattern [C:/Users/kirk/eclipse-workspace/LotterRealPerson/target/classes/javautils/*/**/*.class]
465  [main] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [C:\Users\kirk\eclipse-workspace\LotterRealPerson\target\classes\javautils\http] for files matching pattern [C:/Users/kirk/eclipse-workspace/LotterRealPerson/target/classes/javautils/*/**/*.class]
466  [main] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [C:\Users\kirk\eclipse-workspace\LotterRealPerson\target\classes\javautils\jdbc] for files matching pattern [C:/Users/kirk/eclipse-workspace/LotterRealPerson/target/classes/javautils/*/**/*.class]
466  [main] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [C:\Users\kirk\eclipse-workspace\LotterRealPerson\target\classes\javautils\jdbc\helper] for files matching pattern [C:/Users/kirk/eclipse-workspace/LotterRealPerson/target/classes/javautils/*/**/*.class]
467  [main] DEBUG o.s.c.i.s.PathMatchingResourcePatternResolver - Searching directory [C:\Users\kirk\eclipse-workspace\LotterRealPerson\target\classes\javautils\jdbc\hibernate] for files matching pattern [C:/Users/kirk/eclipse-workspace/LotterRealPerson/target/classes/javautils/*/**/*.class]
